DESCONHECIDO | COVAS | contexto: P3 | melhor match: 'COVAS' (100%)
DESCONHECIDO | GERALDO | contexto: P8 | melhor match: 'LADO' (77%)
DESCONHECIDO | CE4 | contexto: V4-5 | melhor match: 'CE4' (100%)
DESCONHECIDO | 1RU6A 3 | contexto: P4 | melhor match: '1RU6A' (95%)
DESCONHECIDO | Chave Faca | contexto: P4 | melhor match: 'Chave' (90%)
DESCONHECIDO | V2-3 3 | contexto: V2-3 | melhor match: 'V2-3' (90%)
DESCONHECIDO | CE2 | contexto: P2 | melhor match: 'CE2' (100%)
DESCONHECIDO | 34.85m V5-6 | contexto: V5-6 | melhor match: 'V5-6' (90%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 34.75m | contexto: P3 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 34.45m V2-3 | contexto: P3 | melhor match: 'V2-3' (90%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 34.45m | contexto: V2-3 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 40.39m 40.39m | contexto: P5 | melhor match: '40.39m 40.39m' (100%)
DESCONHECIDO | xP7 | contexto: P8 | melhor match: 'xP7' (100%)
DESCONHECIDO | 26.26m V7-8 | contexto: P8 | melhor match: 'V7-8' (90%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 44.08m | contexto: P15 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 43.38m | contexto: P14 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | S45(3) SMFL | contexto: P14 | melhor match: 'S45(3)' (90%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 32.62m | contexto: P17 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 32.62mV17-18 | contexto: P17 | melhor match: '32.2mV1-2' (76%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 40.09m | contexto: P21 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 32.13m | contexto: V18-19 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | 3x1/0AN 1x2x70(70)AXNI 36.33m | contexto: P20 | melhor match: '1x3x70(70)AX' (82%)
DESCONHECIDO | INSTALAR POSTE | contexto: V9-10 | melhor match: 'INSTALAR' (90%)
DESCONHECIDO | 30M | contexto: V13-14 | melhor match: '30M' (100%)
DESCONHECIDO | 30M P13 | contexto: P14 | melhor match: '30M' (90%)
DESCONHECIDO | Nº307/SNº | contexto: P33 | melhor match: 'Nº307/SNº' (100%)
DESCONHECIDO | PODA | contexto: V7-8 | melhor match: 'PODA' (100%)
DESCONHECIDO | 32M | contexto: V12-13 | melhor match: '32.2mV1-2' (72%)
DESCONHECIDO | 3 .47m UBIRATÃ | contexto: V12-13 | melhor match: 'UBIRATÃ' (90%)
DESCONHECIDO | 25M | contexto: V11-12 | melhor match: '25KVA' (72%)
DESCONHECIDO | INSTALAR 4 TERMINAL | contexto: P11 | melhor match: 'INSTALAR' (90%)
DESCONHECIDO | 25M P11 CABOS COMPARTILHANTES | contexto: P11 | melhor match: 'CABOS' (90%)
DESCONHECIDO | P31 ORÇAMENTO | contexto: P11 | melhor match: 'ORÇAMENTO' (95%)
DESCONHECIDO | 31.61m 31.61m | contexto: P6 | melhor match: 'P31' (72%)
DESCONHECIDO | S44(3) | contexto: P6 | melhor match: 'S44(3)' (100%)
DESCONHECIDO | DOS RAMAIS | contexto: P31 | melhor match: 'DOS' (90%)
DESCONHECIDO | PARA TRÁFEGO | contexto: P31 | melhor match: 'PARA' (90%)
DESCONHECIDO | BANDEIRA TP 3 | contexto: P16 | melhor match: '6 4 3' (86%)
DESCONHECIDO | S43(3) | contexto: P2 | melhor match: 'S43(3)' (100%)
DESCONHECIDO | P2 SMTG | contexto: P2 | melhor match: 'MT' (90%)
DESCONHECIDO | ESTRADA | contexto: V1-2 | melhor match: 'ESTRADA' (100%)
DESCONHECIDO | xP8 | contexto: V7-8 | melhor match: 'xP8' (100%)
DESCONHECIDO | 43.94m V7-8 | contexto: V7-8 | melhor match: 'V7-8' (90%)
DESCONHECIDO | 42.82m V6-7 | contexto: V7-8 | melhor match: 'V6-7' (90%)
DESCONHECIDO | local | contexto: P7 | melhor match: 'locação dos' (80%)
DESCONHECIDO | P5-16 xBM | contexto: P7 | melhor match: 'xBM' (90%)
DESCONHECIDO | dificil acesso | contexto: V6-7 | melhor match: 'dificil acesso' (100%)
DESCONHECIDO | 42.69m V5-6 | contexto: P6 | melhor match: 'V5-6' (90%)
DESCONHECIDO | 38.92m V2-3 | contexto: V2-3 | melhor match: 'V2-3' (90%)
DESCONHECIDO | TI8 N4 8 | contexto: P1-8 | melhor match: 'TI8' (90%)
DESCONHECIDO | BT 3x1/0AN 59.40m | contexto: V1-2 | melhor match: '4x1/0AN' (77%)
DESCONHECIDO | BT 3x1/0AN 38.93m | contexto: V2-3 | melhor match: '4x1/0AN' (77%)
DESCONHECIDO | GUINLE | contexto: P1 | melhor match: 'GUINLE' (100%)
DESCONHECIDO | AVENIDA | contexto: P1 | melhor match: 'AVENIDA' (100%)
DESCONHECIDO | CE1 PRE1 | contexto: P1 | melhor match: 'CE1' (90%)
DESCONHECIDO | CE2 PRE1 | contexto: P3 | melhor match: 'CE2' (90%)
DESCONHECIDO | CE4 PRE4 | contexto: P3 | melhor match: 'CE4' (90%)
DESCONHECIDO | INSTALAR PERTO | contexto: P4 | melhor match: 'INSTALAR' (90%)
DESCONHECIDO | 2 PODAS | contexto: P7 | melhor match: 'PODAS' (95%)
DESCONHECIDO | LEGENDA DOS | contexto: V1-2 | melhor match: 'DOS' (90%)
DESCONHECIDO | BT 1x2x4AC | contexto: V1-2 | melhor match: '1x2x4AC' (95%)
DESCONHECIDO | CMB 0099 | contexto: V1-2 | melhor match: 'CMB' (90%)
DESCONHECIDO | 3 V1-2 | contexto: V1-2 | melhor match: 'V1-2' (90%)
DESCONHECIDO | TODO NVL 2 LADO TRECHO CALÇADA | contexto: V1-2 | melhor match: 'CALÇADA' (90%)
DESCONHECIDO | 1 V5-6 | contexto: V1-2 | melhor match: 'V5-6' (90%)
DESCONHECIDO | 3 V2-3 | contexto: V1-2 | melhor match: 'V2-3' (90%)
DESCONHECIDO | 2 V6-7 | contexto: V1-2 | melhor match: 'V6-7' (90%)
DESCONHECIDO | VÃOS | contexto: V5-6 | melhor match: 'VÃOS' (100%)
DESCONHECIDO | 2 V10-11 | contexto: V5-6 | melhor match: 'V10-11' (95%)
DESCONHECIDO | 2 V9-10 | contexto: V5-6 | melhor match: 'V9-10' (95%)
DESCONHECIDO | 2 V7-8 | contexto: V5-6 | melhor match: 'V7-8' (90%)
DESCONHECIDO | 2 V8-9 | contexto: V6-7 | melhor match: 'V8-9' (90%)
DESCONHECIDO | 1 V11-12 | contexto: V10-11 | melhor match: 'V11-12' (95%)
DESCONHECIDO | 3 V12-13 | contexto: V7-8 | melhor match: 'V12-13' (95%)
DESCONHECIDO | 1 V4-5 | contexto: V3-4 | melhor match: 'V4-5' (90%)
DESCONHECIDO | CE1 PRE4 | contexto: V12-13 | melhor match: 'CE1' (90%)
DESCONHECIDO | P14 3x 3 3 6 1 8 5 | contexto: P14 | melhor match: 'P14' (90%)
